Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
2,Mr. William Henry Gillespie,male,34.0,0,0,13.0,0
1,Mr. Algernon Henry Wilson Barkworth,male,80.0,0,0,30.0,1
1,Mr. John Borland Jr Thayer,male,17.0,0,2,110.8833,1
2,Miss. Susan Webber,female,32.5,0,0,13.0,1
1,Mr. Edward Austin Kent,male,58.0,0,0,29.7,0
2,Mr. Peter Henry Renouf,male,34.0,1,0,21.0,0
1,Mr. Harry Markland Molson,male,55.0,0,0,30.5,0
3,Mr. Petar Calic,male,17.0,0,0,8.6625,0
3,Miss. Brigdet Delia McDermott,female,31.0,0,0,7.7875,1
3,Mr. Nedelio Petroff,male,19.0,0,0,7.8958,0
3,Mr. Karl Edwart Dahl,male,45.0,0,0,8.05,1
3,Miss. Amy Zillah Elsie Stanley,female,23.0,0,0,7.55,1
2,Miss. Emily Rugg,female,21.0,0,0,10.5,1
3,Mr. Richard Cater Nosworthy,male,21.0,0,0,7.8,0
2,Mr. William Carbines,male,19.0,0,0,13.0,0
3,Mr. Lee Ling,male,28.0,0,0,56.4958,0
2,Mr. Masabumi Hosono,male,42.0,0,0,13.0,1
1,Mr. Henry Blank,male,40.0,0,0,31.0,1
1,Miss. Helen Loraine Allison,female,2.0,1,2,151.55,0
3,Mr. Ole Martin Olsen,male,27.0,0,0,7.3125,0
2,Mr. William John Robert Turpin,male,29.0,1,0,21.0,0
1,Miss. Ellen Barber,female,26.0,0,0,78.85,1
1,Mrs. James Joseph (Margaret Tobin) Brown,female,44.0,0,0,27.7208,1
3,Miss. Eugenie Baclini,female,0.75,2,1,19.2583,1
3,Mr. Tannous Doharr,male,28.0,0,0,7.2292,0
1,Mr. Percival Wayland White,male,54.0,0,1,77.2875,0
2,Master. Viljo Hamalainen,male,0.67,1,1,14.5,1
2,Mr. William Campbell,male,21.0,0,0,0.0,0
3,Master. Thomas Henry Sage,male,5.0,8,2,69.55,0
3,Mrs. Nils (Alma Cornelia Berglund) Palsson,female,29.0,0,4,21.075,0
3,Mr. John Garfirth,male,23.0,0,0,14.5,0
1,Mrs. Samuel L (Edwiga Grabowska) Goldenberg,female,40.0,1,0,89.1042,1
3,Mr. John Adams,male,26.0,0,0,8.05,0
1,Mr. William Ernest Carter,male,36.0,1,2,120.0,1
3,Miss. Mary Bourke,female,40.0,0,2,7.75,0
2,Mrs. Sinai (Miriam Sternin) Kantor,female,24.0,1,0,26.0,1
1,Mr. John D Baumann,male,60.0,0,0,25.925,0
2,Mr. Robert Douglas Norman,male,28.0,0,0,13.5,0
3,Mr. Simon Maisner,male,34.0,0,0,8.05,0
3,Miss. Anna Sofia Turja,female,18.0,0,0,9.8417,1
3,Mr. Douglas Bullen Sage,male,18.0,8,2,69.55,0
1,Miss. Helen Monypeny Newsom,female,19.0,0,2,26.2833,1
3,Miss. Velin Ohman,female,22.0,0,0,7.775,1
3,Mr. Iisakki Antino Aijo Nirva,male,41.0,0,0,7.125,0
3,Mr. Ilia Stoytcheff,male,19.0,0,0,7.8958,0
1,Miss. Margaret Edith Graham,female,19.0,0,0,30.0,1
3,Mr. Joseph Peduzzi,male,24.0,0,0,8.05,0
3,Mr. Peter Andreas Lauritz Andersen Soholt,male,19.0,0,0,7.65,0
3,Miss. Marija Oreskovic,female,20.0,0,0,8.6625,0
3,Miss. Katherine Mullens,female,19.0,0,0,7.7333,1
3,Mr. Robert Mernagh,male,28.0,0,0,7.75,0
2,Mr. Reginald Charles Coleridge,male,29.0,0,0,10.5,0
1,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,17.0,1,0,108.9,1
3,Mr. Martin Gallagher,male,25.0,0,0,7.7417,0
3,Mr. Dibo Elias,male,29.0,0,0,7.225,0
3,Mr. Timothy O'Brien,male,21.0,0,0,7.8292,0
3,Mr. Ingvald Olai Olsen Hagland,male,28.0,1,0,19.9667,0
2,Mr. Edward Beane,male,32.0,1,0,26.0,1
3,Mrs. Solomon (Latifa Qurban) Baclini,female,24.0,0,3,19.2583,1
2,Miss. Simonne Marie Anne Andree Laroche,female,3.0,1,2,41.5792,1
2,Mr. Henry Price Hodges,male,50.0,0,0,13.0,0
3,Master. Clarence Gustaf Hugo Asplund,male,9.0,4,2,31.3875,0
2,Miss. Marion Elsie Smith,female,40.0,0,0,13.0,1
3,Mr. Karl Alfred Backstrom,male,32.0,1,0,15.85,0
3,Mr. Leo Zimmerman,male,29.0,0,0,7.875,0
1,Mrs. William Ernest (Lucile Polk) Carter,female,36.0,1,2,120.0,1
2,Miss. Nora A Keane,female,46.0,0,0,12.35,1
3,Mr. William Henry Tornquist,male,25.0,0,0,0.0,1
1,Mr. Hammad Hassab,male,27.0,0,0,76.7292,1
3,Mr. Anders Vilhelm Gustafsson,male,37.0,2,0,7.925,0
1,Mr. Maxmillian Frolicher-Stehli,male,60.0,1,1,79.2,1
2,Mrs. William H (Jessie L) Trout,female,28.0,0,0,12.65,1
1,Mlle. Berthe Antonine Mayne,female,24.0,0,0,49.5042,1
3,Mr. Karl Johan Johansson,male,31.0,0,0,7.775,0
2,Mr. Hans Kristensen Givard,male,30.0,0,0,13.0,0
3,Mr. William Alfred Brocklebank,male,35.0,0,0,8.05,0
1,Mr. Henry Birkhardt Harris,male,45.0,1,0,83.475,0
1,Miss. Sara Rebecca Compton,female,39.0,1,1,83.1583,1
1,Dr. Arthur Jackson Brewe,male,46.0,0,0,39.6,0
1,Miss. Bertha LeRoy,female,30.0,0,0,106.425,1
1,Mr. Peter Denis Daly,male,51.0,0,0,26.55,1
3,Mr. Sarkis Lahoud,male,35.0,0,0,7.225,0
3,Mr. Albert Augustsson,male,23.0,0,0,7.8542,0
3,Mrs. Fatima Masselmani,female,22.0,0,0,7.225,1
1,Mr. Pierre Marechal,male,29.0,0,0,29.7,1
3,Mr. Alfred Ossian Gustafsson,male,20.0,0,0,9.8458,0
2,Dr. Ernest Moraweck,male,54.0,0,0,14.0,0
1,Mr. Robert Williams Daniel,male,27.0,0,0,30.5,1
3,Mrs. (Beila) Moor,female,27.0,0,1,12.475,1
3,Mr. Adolf Mathias Nicolai Olsen Humblen,male,42.0,0,0,7.65,0
3,Mr. David John Bowen,male,21.0,0,0,16.1,0
1,Mrs. Edgar Joseph (Leila Saks) Meyer,female,25.0,1,0,82.1708,1
2,Mr. Stanley George Hickman,male,21.0,2,0,73.5,0
3,Mr. Mauritz Nils Martin Adahl,male,30.0,0,0,7.25,0
1,Mr. Henry Sleeper Harper,male,48.0,1,0,76.7292,1
3,Miss. Kristina Sofia Laitinen,female,37.0,0,0,9.5875,0
3,Mr. Luka Cacic,male,38.0,0,0,8.6625,0
1,Mr. William Bertram Greenfield,male,23.0,0,1,63.3583,1
1,Miss. Lucile Polk Carter,female,14.0,1,2,120.0,1
2,Rev. Thomas Roussel Davids Byles,male,42.0,0,0,13.0,0
1,Mr. Walter James Hawksford,male,45.0,0,0,30.0,1
1,Mr. Benjamin Laventall Foreman,male,30.0,0,0,27.75,0
3,Mr. Nakli Toufik,male,17.0,0,0,7.2292,0
3,Master. Gosta Leonard Palsson,male,2.0,3,1,21.075,0
1,Miss. Mary Conover Lines,female,16.0,0,1,39.4,1
2,Mr. John William Gill,male,24.0,0,0,13.0,0
2,Mrs. Charles Alexander (Alice Adelaide Slow) Louch,female,42.0,1,0,26.0,1
3,Mr. Yoto Danoff,male,27.0,0,0,7.8958,0
3,Miss. Ellis Anna Maria Andersson,female,2.0,4,2,31.275,0
3,Mr. Ernest James Crease,male,19.0,0,0,8.1583,0
3,Miss. Mari Aina Jussila,female,21.0,1,0,9.825,0
3,Mr. Alexander Radeff,male,27.0,0,0,7.8958,0
2,Mrs. (Mary D Kingcome) Hewlett,female,55.0,0,0,16.0,1
2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27.0,1,0,21.0,0
3,Mr. Antti Gustaf Leinonen,male,32.0,0,0,7.925,0
3,Mr. Eiriik Jussila,male,32.0,0,0,7.925,1
2,Mr. Martin Ponesell,male,34.0,0,0,13.0,0
3,Mr. James Farrell,male,40.5,0,0,7.75,0
3,Mr. John Bourke,male,40.0,1,1,15.5,0
2,Miss. Marjorie Collyer,female,8.0,0,2,26.25,1
3,Master. William Frederick Goodwin,male,11.0,5,2,46.9,0
3,Mr. George Patchett,male,19.0,0,0,14.5,0
1,Mr. Walter Donald Douglas,male,50.0,1,0,106.425,0
3,Miss. Agnes McCoy,female,28.0,2,0,23.25,1
2,Mr. Henry Samuel Morley,male,39.0,0,0,26.0,0
2,Miss. Alice Herman,female,24.0,1,2,65.0,1
2,Mr. Henry Michael Mitchell,male,70.0,0,0,10.5,0
1,Mr. William Fisher Hoyt,male,43.0,0,0,30.6958,0
3,Mrs. Sam (Leah Rosen) Aks,female,18.0,0,1,9.35,1
1,Mr. William Henry Marsh Parr,male,30.0,0,0,0.0,0
3,Mr. Ernest Portage Tomlin,male,30.5,0,0,8.05,0
3,Mr. Berk (Berk Trembisky) Pickard,male,32.0,0,0,8.05,1
3,Mr. Fared Kassem,male,18.0,0,0,7.2292,0
3,Mr. Mansour Hanna,male,23.5,0,0,7.2292,0
1,Miss. Ruth Taussig,female,18.0,0,2,79.65,1
3,Mr. Jozef Drazenoic,male,33.0,0,0,7.8958,0
2,Mr. Lawrence Beesley,male,34.0,0,0,13.0,1
3,Mrs. (Hedwig) Turkula,female,63.0,0,0,9.5875,1
3,Mrs. Wilhelm (Elna Matilda Persson) Strom,female,29.0,1,1,10.4625,0
2,Mr. Michel Navratil,male,36.5,0,2,26.0,0
2,Mr. George Floyd Eitemiller,male,23.0,0,0,13.0,0
3,Mr. Uscher Paulner,male,16.0,0,0,8.7125,0
2,Mr. John Denzil Jarvis,male,47.0,0,0,15.0,0
3,Miss. Eleanor Ileen Johnson,female,1.0,1,1,11.1333,1
3,Master. Elias Nicola-Yarred,male,12.0,1,0,11.2417,1
3,Miss. Erna Alexandra Andersson,female,17.0,4,2,7.925,1
2,Mr. Charles Henry Chapman,male,52.0,0,0,13.5,0
1,Mr. Richard Fry,male,39.0,0,0,0.0,0
1,Dr. Alice (Farnham) Leader,female,49.0,0,0,25.9292,1
1,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49.0,1,0,76.7292,1
1,Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,female,35.0,1,0,90.0,1
3,Mr. William John Rogers,male,30.0,0,0,8.05,0
3,Mr. Penko Naidenoff,male,22.0,0,0,7.8958,0
2,Mr. Rene Jacques Levy,male,36.0,0,0,12.875,0
3,Mr. Henry Hart,male,27.0,0,0,6.8583,0
3,Mr. Bengt Edvin Larsson,male,29.0,0,0,7.775,0
1,Master. William Thornton II Carter,male,11.0,1,2,120.0,1
1,Miss. Georgette Alexandra Madill,female,15.0,0,1,211.3375,1
3,Master. Juha Niilo Panula,male,7.0,4,1,39.6875,0
3,Miss. Catherine Helen Johnston,female,7.0,1,2,23.45,0
3,Mr. William Ali,male,25.0,0,0,7.05,0
2,Mr. Richard Otter,male,39.0,0,0,13.0,0
3,Miss. Mathilde Lefebre,female,12.0,3,1,25.4667,0
2,Mrs. William (Imanita Parrish Hall) Shelley,female,25.0,0,1,26.0,1
3,Mr. Eberhard Thelander Fischer,male,18.0,0,0,7.7958,0
1,Mrs. Richard Leonard (Sallie Monypeny) Beckwith,female,47.0,1,1,52.5542,1
3,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18.0,1,0,17.8,0
2,Mr. Joseph Charles Nicholls,male,19.0,1,1,36.75,0
3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27.0,0,2,11.1333,1
2,Mr. Peter David McKane,male,46.0,0,0,26.0,0
2,Mrs. Samuel (Jane Laver) Herman,female,48.0,1,2,65.0,1
2,Rev. Juozas Montvila,male,27.0,0,0,13.0,0
3,Mr. Leonard Charles Moore,male,19.0,0,0,8.05,0
3,Miss. Ellen O'Dwyer,female,24.0,0,0,7.8792,1
1,Mrs. Thomas (Edith Wearne) Pears,female,22.0,1,0,66.6,1
3,Miss. Eliina Honkanen,female,27.0,0,0,7.925,1
3,Mr. Svend Lauritz Jensen,male,17.0,1,0,7.0542,0
3,Mr. Henrik Juul Hansen,male,26.0,1,0,7.8542,0
2,Rev. Ernest Courtenay Carter,male,54.0,1,0,26.0,0
1,Jonkheer. John George Reuchlin,male,38.0,0,0,0.0,0
3,Mr. Peju Coleff,male,36.0,0,0,7.4958,0
3,Mr. Jaako Arnold Panula,male,14.0,4,1,39.6875,0
3,Mr. William Arthur Lobb,male,30.0,1,0,16.1,0
1,Mr. Albert A Stewart,male,64.0,0,0,27.7208,0
2,Mr. Nicholas Nasser,male,32.5,1,0,30.0708,0
2,Mr. Ennis Hastings Watson,male,19.0,0,0,0.0,0
1,Dr. Henry William Frauenthal,male,50.0,2,0,133.65,1
3,Miss. Hanora Hegarty,female,18.0,0,0,6.75,0
1,Mr. William Harrison,male,40.0,0,0,0.0,0
3,Mr. Luka Oreskovic,male,20.0,0,0,8.6625,0
2,Mr. Harvey Collyer,male,31.0,1,1,26.25,0
3,Master. Halim Gonios Moubarek,male,4.0,1,1,15.2458,1
1,Mr. Edwin Nelson Jr Kimball,male,42.0,1,0,52.5542,1
3,Miss. Delia Henry,female,21.0,0,0,7.75,0
1,Mr. Charles H Harrington,male,37.0,0,0,42.4,0
3,Mr. Guentcho Bostandyeff,male,26.0,0,0,7.8958,0
3,Mr. Alfred J Davies,male,24.0,2,0,24.15,0
3,Mr. Oskar Arvid Hedman,male,27.0,0,0,6.975,1
3,Mr. Christo Nenkoff,male,22.0,0,0,7.8958,0
2,Mrs. William (Anna) Hamalainen,female,24.0,0,2,14.5,1
3,Mr. Wilhelm Skoog,male,40.0,1,4,27.9,0
3,Mr. Owen George Allum,male,18.0,0,0,8.3,0
2,Mr. Rene Pernot,male,39.0,0,0,15.05,0
1,Miss. Anna Ward,female,35.0,0,0,512.3292,1
2,Mrs. William (Anna Sylfven) Lahtinen,female,26.0,1,1,26.0,0
1,Mme. Leontine Pauline Aubart,female,24.0,0,0,69.3,1
2,Mr. Richard George Hocking,male,23.0,2,1,11.5,0
1,Mrs. Louis Albert (Ida Sophia Fischer) Hippach,female,44.0,0,1,57.9792,1
3,Mr. Khalil Saad,male,25.0,0,0,7.225,0
3,Mr. John Fredrik Alexander Holm,male,43.0,0,0,6.45,0
3,Miss. Annie Jermyn,female,22.0,0,0,7.75,1
3,Miss. Marguerite Rut Sandstrom,female,4.0,1,1,16.7,1
3,Mrs. Antoni (Selini Alexander) Yasbeck,female,15.0,1,0,14.4542,1
2,Mr. Stephen Curnow Jenkin,male,32.0,0,0,10.5,0
1,Mr. John Hugo Ross,male,36.0,0,0,40.125,0
2,Mr. Emile Richard,male,23.0,0,0,15.0458,0
3,Mr. Tannous Betros,male,20.0,0,0,4.0125,0
3,Mr. Todor Sdycoff,male,42.0,0,0,7.8958,0
3,Mr. Nassef Cassem Albimona,male,26.0,0,0,18.7875,1
3,Mr. Francesco Celotti,male,24.0,0,0,8.05,0
1,Mrs. Edward Dale (Charlotte Lamson) Appleton,female,53.0,2,0,51.4792,1
3,Master. Gerios Moubarek,male,7.0,1,1,15.2458,1
2,Mr. Samuel James Hayden Sobey,male,25.0,0,0,13.0,0
3,Mr. Antti Wilhelm Sivola,male,21.0,0,0,7.925,0
3,Miss. Torborg Danira Palsson,female,8.0,3,1,21.075,0
3,Mr. Antoni Yasbeck,male,27.0,1,0,14.4542,0
2,Mr. Stephen Hold,male,44.0,1,0,26.0,0
3,Mr. John Henry Perkin,male,22.0,0,0,7.25,0
3,Miss. Jeannie Lefebre,female,8.0,3,1,25.4667,0
1,Miss. Ann Elizabeth Isham,female,50.0,0,0,28.7125,0
1,Miss. Caroline Louise Endres,female,38.0,0,0,227.525,1
3,Mr. George John Jr Sage,male,20.0,8,2,69.55,0
3,Miss. Malake Attalah,female,17.0,0,0,14.4583,0
3,Master. Harold Theodor Johnson,male,4.0,1,1,11.1333,1
3,Mr. Leo Peter Vanden Steen,male,28.0,0,0,9.5,0
1,Mrs. George Nelson (Martha Evelyn) Stone,female,62.0,0,0,80.0,1
3,Mr. August Viktor Larsson,male,29.0,0,0,9.4833,0
2,Master. Andre Mallet,male,1.0,0,2,37.0042,1
3,Mr. John Flynn,male,36.0,0,0,6.95,0
3,Mr. Jeremiah Burke,male,19.0,0,0,6.75,0
2,Mr. Charles Frederick Waddington Sedgwick,male,25.0,0,0,13.0,0
1,Mr. Gustave J Lesurer,male,35.0,0,0,512.3292,1
3,Miss. Anna Katherine Kelly,female,20.0,0,0,7.75,1
3,Mr. Gurshon Cohen,male,18.0,0,0,8.05,1
3,Mr. Samuel Dennis,male,22.0,0,0,7.25,0
1,Miss. Marjorie Newell,female,23.0,1,0,113.275,1
1,Mr. Dickinson H Bishop,male,25.0,1,0,91.0792,1
1,Mrs. Henry William (Clara Heinsheimer) Frauenthal,female,42.0,1,0,133.65,1
3,Mr. Carl Jonsson,male,32.0,0,0,7.8542,1
3,Miss. Kate Connolly,female,22.0,0,0,7.75,1
3,Mr. Johannes Halvorsen Kalvik,male,21.0,0,0,8.4333,0
1,Mr. Sante Ringhini,male,22.0,0,0,135.6333,0
3,Mr. William James Elsbury,male,47.0,0,0,7.25,0
3,Mr. Victor Vander Cruyssen,male,47.0,0,0,9.0,0
1,Mr. Victor Robbins,male,45.0,0,0,227.525,0
1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35.0,1,0,83.475,1
3,Mr. Ivan Staneff,male,23.0,0,0,7.8958,0
1,Miss. Elizabeth W Shutes,female,40.0,0,0,153.4625,1
1,Mr. Thomas Jr Andrews,male,39.0,0,0,0.0,0
2,Miss. Mary Davis,female,28.0,0,0,13.0,1
2,Master. Richard F Becker,male,1.0,2,1,39.0,1
3,Mr. Janko Vovk,male,22.0,0,0,7.8958,0
3,Mr. Farred Chehab Emir,male,26.0,0,0,7.225,0
3,Mr. Joseph Jr Elias,male,17.0,1,1,7.2292,0
3,Miss. Augusta Maria Vander Planke,female,18.0,2,0,18.0,0
3,Mrs. Percival (Florence Kate White) Thorneycroft,female,33.0,1,0,16.1,1
1,Col. John Weir,male,60.0,0,0,26.55,0
1,Mrs. Frederick R (Marion) Kenyon,female,41.0,1,0,51.8625,1
1,Mr. John Irwin Flynn,male,36.0,0,0,26.3875,1
2,Mr. Shadrach Gale,male,34.0,1,0,21.0,0
2,Mrs. Edward (Ethel Clarke) Beane,female,19.0,1,0,26.0,1
3,Mrs. Alexander A (Grace Charity Laury) Robins,female,47.0,1,0,14.5,0
1,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,female,48.0,1,0,52.0,1
3,Miss. Manca Karun,female,4.0,0,1,13.4167,1
1,Mr. James Robert McGough,male,36.0,0,0,26.2875,1
2,Mr. Anthony Wood Frost,male,37.0,0,0,0.0,0
1,Mr. Edward Pennington Calderhead,male,42.0,0,0,26.2875,1
3,Mr. Johan Ekstrom,male,45.0,0,0,6.975,0
2,Mr. Stanley Hubert Fox,male,36.0,0,0,13.0,0
3,Mr. James George Reed,male,18.0,0,0,7.25,0
2,Mrs. Florence Kelly,female,45.0,0,0,13.5,1
3,Mr. Frederick William Shellard,male,55.0,0,0,15.1,0
3,Mr. Richard Henry Rouse,male,50.0,0,0,8.05,0
3,Mr. Adola Asim,male,35.0,0,0,7.05,0
2,Mr. Frederick Edward Giles,male,21.0,1,0,11.5,0
3,Miss. Pieta Sofia Ilmakangas,female,25.0,1,0,7.925,0
3,Mrs. Darwis (Hanne Youssef Razi) Touma,female,29.0,0,2,15.2458,1
2,Mrs. Charles V (Ada Maria Winfield) Clarke,female,28.0,1,0,26.0,1
3,Mr. Lalio Todoroff,male,23.0,0,0,7.8958,0
2,Mr. Samuel Abelson,male,30.0,1,0,24.0,0
3,Mr. Lionel Leonard,male,36.0,0,0,0.0,0
1,Master. Hudson Trevor Allison,male,0.92,1,2,151.55,1
1,Mr. Karl Howell Behr,male,26.0,0,0,30.0,1
3,Miss. Helmina Josefina Nilsson,female,26.0,0,0,7.8542,1
3,Mrs. William (Margaret Norton) Rice,female,39.0,0,5,29.125,0
2,Mr. Johan Henrik Johannesson Kvillner,male,31.0,0,0,10.5,0
3,Mr. Johannes Joseph Vande Velde,male,33.0,0,0,9.5,0
2,Mr. James H Bracken,male,27.0,0,0,13.0,0
3,Mr. Thomas Rowan Morrow,male,30.0,0,0,7.75,0
3,Mr. Bernard McCoy,male,24.0,2,0,23.25,1
3,Mr. Theodore de Mulder,male,30.0,0,0,9.5,1
3,Mr. Nestor Cyriel Vande Walle,male,28.0,0,0,9.5,0
2,Mr. Erik Gustaf Collander,male,28.0,0,0,13.0,0
1,Mlle. Emma Sagesser,female,24.0,0,0,69.3,1
3,Master. Eden Leslie Coutts,male,9.0,1,1,15.9,1
1,Don. Manuel E Uruchurtu,male,40.0,0,0,27.7208,0
3,Mr. Fang Lang,male,26.0,0,0,56.4958,1
3,Mr. Peter L Lemberopolous,male,34.5,0,0,6.4375,0
2,Master. William Rowe Richards,male,3.0,1,1,18.75,1
2,Mrs. (Ada E Hall) Ball,female,36.0,0,0,13.0,1
1,Mrs. Albert Adrian (Vera Gillespie) Dick,female,17.0,1,0,57.0,1
3,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,female,30.0,1,1,24.15,0
3,Mrs. Catherine (Catherine Rizk) Peter,female,24.0,0,2,22.3583,1
2,Miss. Bertha Lehmann,female,17.0,0,0,12.0,1
2,Master. Alden Gates Caldwell,male,0.83,0,2,29.0,1
2,Master. George Sibley Richards,male,0.83,1,1,18.75,1
3,Mr. Matthew Sadlier,male,19.0,0,0,7.7292,0
3,Mr. Percival Thorneycroft,male,37.0,1,0,16.1,0
3,Mr. Henry Margido Olsen,male,28.0,0,0,22.525,0
3,Mr. Achille Waelens,male,22.0,0,0,9.0,0
3,Mr. Jan Baptist Sheerlinck,male,29.0,0,0,9.5,1
3,Mr. Gustaf Hjalmar Edvardsson,male,18.0,0,0,7.775,0
2,Miss. Joan Wells,female,4.0,1,1,23.0,1
2,Mr. Samuel Greenberg,male,52.0,0,0,13.0,0
3,Mrs. Joseph (Sultana) Boulos,female,40.0,0,2,15.2458,0
3,Mrs. Frederick (Augusta Tyler) Goodwin,female,43.0,1,6,46.9,0
3,Mr. Matti Rintamaki,male,35.0,0,0,7.125,0
2,Ms. Encarnacion Reynaldo,female,28.0,0,0,13.0,1
2,Mr. John Henry Chapman,male,37.0,1,0,26.0,0
3,Mr. Marin Markoff,male,35.0,0,0,7.8958,0
1,Mr. Charles Duane Williams,male,51.0,0,1,61.3792,0
2,Miss. Marion Louise Becker,female,4.0,2,1,39.0,1
3,Mr. Juha Niskanen,male,39.0,0,0,7.925,1
1,Mrs. George Dennick (Mary Hitchcock) Wick,female,45.0,1,1,164.8667,1
1,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,60.0,1,0,75.25,1
2,Mr. Leonard Mark Hickman,male,24.0,2,0,73.5,0
3,Master. Sidney Leonard Goodwin,male,1.0,5,2,46.9,0
3,Mrs. Mara Osman,female,31.0,0,0,8.6833,1
2,Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,female,40.0,1,1,39.0,1
2,Mr. Edgardo Samuel Andrew,male,18.0,0,0,11.5,0
3,Mr. John Simmons,male,40.0,0,0,8.05,0
3,Mr. Satio Coleff,male,24.0,0,0,7.4958,0
2,Mr. William James Downton,male,54.0,0,0,26.0,0
3,Mr. William Alexander,male,26.0,0,0,7.8875,0
2,Mr. Walter Harris,male,30.0,0,0,10.5,0
3,Mr. Mito Mitkoff,male,23.0,0,0,7.8958,0
3,Miss. Mary Agatha Glynn,female,18.0,0,0,7.75,1
3,Miss. Laina Heikkinen,female,26.0,0,0,7.925,1
2,Mrs. (Mary) Mack,female,57.0,0,0,10.5,0
3,Mr. Ernesti Arvid Panula,male,16.0,4,1,39.6875,0
3,Mr. Nikolai Erland Kallio,male,17.0,0,0,7.125,0
2,Mrs. Edwy Arthur (Ada Mary Worth) West,female,33.0,1,2,27.75,1
3,Mr. Leslie Williams,male,28.5,0,0,16.1,0
3,Mr. Jakob Alfred Wiklund,male,18.0,1,0,6.4958,0
3,Mr. James Scanlan,male,22.0,0,0,7.725,0
1,Mr. Norman Campbell Chambers,male,27.0,1,0,53.1,1
1,Miss. Susan Parker Ryerson,female,21.0,2,2,262.375,1
1,Mrs. Frederick Joel (Margaret Welles Barron) Swift,female,48.0,0,0,25.9292,1
3,Mr. James Flynn,male,28.0,0,0,7.75,0
